rep,tset,w,pts
0,24/25,45,1739
0,24/25,50,1777
0,24/25,55,1777
0,24/25,60,1777
0,24/25,65,1777
0,24/25,70,1777
0,24/25,75,1803
0,25/26,45,1432
0,25/26,50,1432
0,25/26,55,1432
0,25/26,60,1432
0,25/26,65,1432
0,25/26,70,1432
0,25/26,75,1432
1,24/25,45,1705
1,24/25,50,1705
1,24/25,55,1692
1,24/25,60,1868
1,24/25,65,1868
1,24/25,70,1761
1,24/25,75,1761
1,25/26,45,1487
1,25/26,50,1493
1,25/26,55,1493
1,25/26,60,1493
1,25/26,65,1493
1,25/26,70,1580
1,25/26,75,1438
2,24/25,45,1643
2,24/25,50,1814
2,24/25,55,1864
2,24/25,60,1798
2,24/25,65,1659
2,24/25,70,1659
2,24/25,75,1617
2,25/26,45,1700
2,25/26,50,1700
2,25/26,55,1700
2,25/26,60,1700
2,25/26,65,1700
2,25/26,70,1700
2,25/26,75,1700
3,24/25,45,1744
3,24/25,50,1744
3,24/25,55,1741
3,24/25,60,1741
3,24/25,65,1741
3,24/25,70,1741
3,24/25,75,1741
3,25/26,45,1635
3,25/26,50,1635
3,25/26,55,1670
3,25/26,60,1670
3,25/26,65,1670
3,25/26,70,1670
3,25/26,75,1670
4,24/25,45,1659
4,24/25,50,1659
4,24/25,55,1593
4,24/25,60,1593
4,24/25,65,1602
4,24/25,70,1602
4,24/25,75,1641
4,25/26,45,1558
4,25/26,50,1668
4,25/26,55,1668
4,25/26,60,1668
4,25/26,65,1668
4,25/26,70,1668
4,25/26,75,1437
5,24/25,45,1643
5,24/25,50,1672
5,24/25,55,1589
5,24/25,60,1589
5,24/25,65,1589
5,24/25,70,1657
5,24/25,75,1657
5,25/26,45,1558
5,25/26,50,1558
5,25/26,55,1558
5,25/26,60,1558
5,25/26,65,1540
5,25/26,70,1540
5,25/26,75,1484
6,24/25,45,1796
6,24/25,50,1796
6,24/25,55,1796
6,24/25,60,1888
6,24/25,65,1888
6,24/25,70,1888
6,24/25,75,1659
6,25/26,45,1700
6,25/26,50,1700
6,25/26,55,1700
6,25/26,60,1700
6,25/26,65,1700
6,25/26,70,1700
6,25/26,75,1644
7,24/25,45,1635
7,24/25,50,1689
7,24/25,55,1694
7,24/25,60,1758
7,24/25,65,1758
7,24/25,70,1758
7,24/25,75,1758
7,25/26,45,1525
7,25/26,50,1525
7,25/26,55,1525
7,25/26,60,1525
7,25/26,65,1525
7,25/26,70,1525
7,25/26,75,1525
8,24/25,45,1864
8,24/25,50,1567
8,24/25,55,1567
8,24/25,60,1798
8,24/25,65,1798
8,24/25,70,1612
8,24/25,75,1612
8,25/26,45,1558
8,25/26,50,1558
8,25/26,55,1591
8,25/26,60,1591
8,25/26,65,1591
8,25/26,70,1561
8,25/26,75,1561
9,24/25,45,1852
9,24/25,50,1798
9,24/25,55,1798
9,24/25,60,1798
9,24/25,65,1798
9,24/25,70,1798
9,24/25,75,1699
9,25/26,45,1611
9,25/26,50,1611
9,25/26,55,1611
9,25/26,60,1611
9,25/26,65,1611
9,25/26,70,1611
9,25/26,75,1611
10,24/25,45,1653
10,24/25,50,1653
10,24/25,55,1653
10,24/25,60,1653
10,24/25,65,1561
10,24/25,70,1731
10,24/25,75,1731
10,25/26,45,1700
10,25/26,50,1700
10,25/26,55,1700
10,25/26,60,1700
10,25/26,65,1700
10,25/26,70,1437
10,25/26,75,1611
11,24/25,45,1701
11,24/25,50,1739
11,24/25,55,1744
11,24/25,60,1744
11,24/25,65,1744
11,24/25,70,1576
11,24/25,75,1576
11,25/26,45,1525
11,25/26,50,1525
11,25/26,55,1700
11,25/26,60,1700
11,25/26,65,1602
11,25/26,70,1602
11,25/26,75,1602
12,24/25,45,1816
12,24/25,50,1816
12,24/25,55,1821
12,24/25,60,1821
12,24/25,65,1821
12,24/25,70,1821
12,24/25,75,1665
12,25/26,45,1700
12,25/26,50,1700
12,25/26,55,1700
12,25/26,60,1644
12,25/26,65,1644
12,25/26,70,1644
12,25/26,75,1644
13,24/25,45,1589
13,24/25,50,1589
13,24/25,55,1589
13,24/25,60,1589
13,24/25,65,1589
13,24/25,70,1628
13,24/25,75,1628
13,25/26,45,1700
13,25/26,50,1700
13,25/26,55,1700
13,25/26,60,1700
13,25/26,65,1700
13,25/26,70,1700
13,25/26,75,1700
14,24/25,45,1694
14,24/25,50,1694
14,24/25,55,1694
14,24/25,60,1694
14,24/25,65,1694
14,24/25,70,1845
14,24/25,75,1845
14,25/26,45,1432
14,25/26,50,1432
14,25/26,55,1432
14,25/26,60,1432
14,25/26,65,1432
14,25/26,70,1432
14,25/26,75,1432
15,24/25,45,1864
15,24/25,50,1864
15,24/25,55,1864
15,24/25,60,1864
15,24/25,65,1864
15,24/25,70,1843
15,24/25,75,1843
15,25/26,45,1558
15,25/26,50,1558
15,25/26,55,1558
15,25/26,60,1525
15,25/26,65,1525
15,25/26,70,1510
15,25/26,75,1510
16,24/25,45,1589
16,24/25,50,1777
16,24/25,55,1678
16,24/25,60,1678
16,24/25,65,1678
16,24/25,70,1805
16,24/25,75,1805
16,25/26,45,1432
16,25/26,50,1432
16,25/26,55,1432
16,25/26,60,1432
16,25/26,65,1518
16,25/26,70,1518
16,25/26,75,1518
17,24/25,45,1739
17,24/25,50,1739
17,24/25,55,1739
17,24/25,60,1864
17,24/25,65,1888
17,24/25,70,1888
17,24/25,75,1617
17,25/26,45,1446
17,25/26,50,1446
17,25/26,55,1446
17,25/26,60,1446
17,25/26,65,1446
17,25/26,70,1446
17,25/26,75,1446
18,24/25,45,1798
18,24/25,50,1775
18,24/25,55,1601
18,24/25,60,1601
18,24/25,65,1601
18,24/25,70,1601
18,24/25,75,1601
18,25/26,45,1644
18,25/26,50,1644
18,25/26,55,1644
18,25/26,60,1644
18,25/26,65,1644
18,25/26,70,1644
18,25/26,75,1546
19,24/25,45,1648
19,24/25,50,1648
19,24/25,55,1648
19,24/25,60,1648
19,24/25,65,1648
19,24/25,70,1744
19,24/25,75,1744
19,25/26,45,1558
19,25/26,50,1558
19,25/26,55,1558
19,25/26,60,1558
19,25/26,65,1558
19,25/26,70,1558
19,25/26,75,1558
