rep,tset,method,pts
0,24/25,last-szn,1574
0,24/25,price,1425
0,24/25,structural,1702
0,24/25,ridge,1771
0,24/25,gbm,1673
0,24/25,rf,1778
0,24/25,ml_ens,1865
0,24/25,blend0,1586
0,24/25,blend10,1586
0,24/25,blend20,1586
0,24/25,blend30,1768
0,24/25,blend40,1868
0,24/25,blend50,1852
0,24/25,blend60,1852
0,24/25,blend70,1742
0,24/25,blend80,1742
0,24/25,blend90,1742
0,24/25,blend100,1601
0,25/26,last-szn,1405
0,25/26,price,922
0,25/26,structural,1397
0,25/26,ridge,1398
0,25/26,gbm,1320
0,25/26,rf,1360
0,25/26,ml_ens,1482
0,25/26,blend0,1476
0,25/26,blend10,1572
0,25/26,blend20,1572
0,25/26,blend30,1572
0,25/26,blend40,1572
0,25/26,blend50,1700
0,25/26,blend60,1700
0,25/26,blend70,1700
0,25/26,blend80,1700
0,25/26,blend90,1663
0,25/26,blend100,1569
1,24/25,last-szn,1574
1,24/25,price,1425
1,24/25,structural,1702
1,24/25,ridge,1834
1,24/25,gbm,1622
1,24/25,rf,1369
1,24/25,ml_ens,1742
1,24/25,blend0,1586
1,24/25,blend10,1586
1,24/25,blend20,1586
1,24/25,blend30,1761
1,24/25,blend40,1643
1,24/25,blend50,1731
1,24/25,blend60,1731
1,24/25,blend70,1731
1,24/25,blend80,1742
1,24/25,blend90,1742
1,24/25,blend100,1742
1,25/26,last-szn,1405
1,25/26,price,922
1,25/26,structural,1397
1,25/26,ridge,1398
1,25/26,gbm,1276
1,25/26,rf,1224
1,25/26,ml_ens,1417
1,25/26,blend0,1476
1,25/26,blend10,1558
1,25/26,blend20,1558
1,25/26,blend30,1558
1,25/26,blend40,1700
1,25/26,blend50,1700
1,25/26,blend60,1700
1,25/26,blend70,1700
1,25/26,blend80,1546
1,25/26,blend90,1551
1,25/26,blend100,1499
2,24/25,last-szn,1574
2,24/25,price,1425
2,24/25,structural,1702
2,24/25,ridge,1714
2,24/25,gbm,1744
2,24/25,rf,1419
2,24/25,ml_ens,1742
2,24/25,blend0,1586
2,24/25,blend10,1586
2,24/25,blend20,1586
2,24/25,blend30,1648
2,24/25,blend40,1598
2,24/25,blend50,1598
2,24/25,blend60,1798
2,24/25,blend70,1798
2,24/25,blend80,1725
2,24/25,blend90,1612
2,24/25,blend100,1574
2,25/26,last-szn,1405
2,25/26,price,922
2,25/26,structural,1397
2,25/26,ridge,1398
2,25/26,gbm,1353
2,25/26,rf,1374
2,25/26,ml_ens,1319
2,25/26,blend0,1476
2,25/26,blend10,1572
2,25/26,blend20,1572
2,25/26,blend30,1572
2,25/26,blend40,1644
2,25/26,blend50,1644
2,25/26,blend60,1645
2,25/26,blend70,1579
2,25/26,blend80,1569
2,25/26,blend90,1569
2,25/26,blend100,1436
3,24/25,last-szn,1574
3,24/25,price,1425
3,24/25,structural,1702
3,24/25,ridge,1834
3,24/25,gbm,1741
3,24/25,rf,1726
3,24/25,ml_ens,1853
3,24/25,blend0,1586
3,24/25,blend10,1586
3,24/25,blend20,1650
3,24/25,blend30,1650
3,24/25,blend40,1786
3,24/25,blend50,1731
3,24/25,blend60,1731
3,24/25,blend70,1775
3,24/25,blend80,1659
3,24/25,blend90,1617
3,24/25,blend100,1591
