rep,tset,m,topn,cap,pts
0,24/25,ens2,150,0,1643
0,24/25,ens3,150,0,1694
0,24/25,ens4,150,0,1694
0,24/25,ens5,150,0,1574
0,24/25,ens6,150,0,1730
0,24/25,struct,150,0,1702
0,24/25,ens2,180,0,1643
0,24/25,ens3,180,0,1694
0,24/25,ens4,180,0,1694
0,24/25,ens5,180,0,1670
0,24/25,ens6,180,0,1730
0,24/25,struct,180,0,1702
0,24/25,ens2,240,0,1643
0,24/25,ens3,240,0,1694
0,24/25,ens4,240,0,1694
0,24/25,ens5,240,0,1670
0,24/25,ens6,240,0,1730
0,24/25,struct,240,0,1702
0,24/25,ens2_cap,180,1,1824
0,24/25,ens3_cap,180,1,1875
0,24/25,ens5_cap,180,1,1851
0,25/26,ens2,150,0,1558
0,25/26,ens3,150,0,1314
0,25/26,ens4,150,0,1456
0,25/26,ens5,150,0,1539
0,25/26,ens6,150,0,1314
0,25/26,struct,150,0,1397
0,25/26,ens2,180,0,1558
0,25/26,ens3,180,0,1314
0,25/26,ens4,180,0,1456
0,25/26,ens5,180,0,1539
0,25/26,ens6,180,0,1314
0,25/26,struct,180,0,1397
0,25/26,ens2,240,0,1558
0,25/26,ens3,240,0,1314
0,25/26,ens4,240,0,1456
0,25/26,ens5,240,0,1539
0,25/26,ens6,240,0,1314
0,25/26,struct,240,0,1397
0,25/26,ens2_cap,180,1,1672
0,25/26,ens3_cap,180,1,1428
0,25/26,ens5_cap,180,1,1653
1,24/25,ens2,150,0,1589
1,24/25,ens3,150,0,1701
1,24/25,ens4,150,0,1647
1,24/25,ens5,150,0,1574
1,24/25,ens6,150,0,1645
1,24/25,struct,150,0,1702
1,24/25,ens2,180,0,1589
1,24/25,ens3,180,0,1701
1,24/25,ens4,180,0,1647
1,24/25,ens5,180,0,1574
1,24/25,ens6,180,0,1589
1,24/25,struct,180,0,1702
1,24/25,ens2,240,0,1589
1,24/25,ens3,240,0,1701
1,24/25,ens4,240,0,1647
1,24/25,ens5,240,0,1574
1,24/25,ens6,240,0,1645
1,24/25,struct,240,0,1702
1,24/25,ens2_cap,180,1,1828
1,24/25,ens3_cap,180,1,1882
1,24/25,ens5_cap,180,1,1755
1,25/26,ens2,150,0,1616
1,25/26,ens3,150,0,1616
1,25/26,ens4,150,0,1591
1,25/26,ens5,150,0,1474
1,25/26,ens6,150,0,1557
1,25/26,struct,150,0,1397
1,25/26,ens2,180,0,1616
1,25/26,ens3,180,0,1616
1,25/26,ens4,180,0,1591
1,25/26,ens5,180,0,1474
1,25/26,ens6,180,0,1557
1,25/26,struct,180,0,1397
1,25/26,ens2,240,0,1616
1,25/26,ens3,240,0,1616
1,25/26,ens4,240,0,1591
1,25/26,ens5,240,0,1474
1,25/26,ens6,240,0,1557
1,25/26,struct,240,0,1397
1,25/26,ens2_cap,180,1,1730
1,25/26,ens3_cap,180,1,1730
1,25/26,ens5_cap,180,1,1588
2,24/25,ens2,150,0,1589
2,24/25,ens3,150,0,1589
2,24/25,ens4,150,0,1589
2,24/25,ens5,150,0,1643
2,24/25,ens6,150,0,1589
2,24/25,struct,150,0,1702
2,24/25,ens2,180,0,1589
2,24/25,ens3,180,0,1589
2,24/25,ens4,180,0,1589
2,24/25,ens5,180,0,1643
2,24/25,ens6,180,0,1589
2,24/25,struct,180,0,1702
2,24/25,ens2,240,0,1589
2,24/25,ens3,240,0,1589
2,24/25,ens4,240,0,1589
2,24/25,ens5,240,0,1643
2,24/25,ens6,240,0,1589
2,24/25,struct,240,0,1702
2,24/25,ens2_cap,180,1,1716
2,24/25,ens3_cap,180,1,1716
2,24/25,ens5_cap,180,1,1824
2,25/26,ens2,150,0,1572
2,25/26,ens3,150,0,1572
2,25/26,ens4,150,0,1572
2,25/26,ens5,150,0,1539
2,25/26,ens6,150,0,1560
2,25/26,struct,150,0,1397
2,25/26,ens2,180,0,1572
2,25/26,ens3,180,0,1572
2,25/26,ens4,180,0,1572
2,25/26,ens5,180,0,1539
2,25/26,ens6,180,0,1560
2,25/26,struct,180,0,1397
2,25/26,ens2,240,0,1572
2,25/26,ens3,240,0,1572
2,25/26,ens4,240,0,1572
2,25/26,ens5,240,0,1539
2,25/26,ens6,240,0,1560
2,25/26,struct,240,0,1397
2,25/26,ens2_cap,180,1,1686
2,25/26,ens3_cap,180,1,1686
2,25/26,ens5_cap,180,1,1653
3,24/25,ens2,150,0,1727
3,24/25,ens3,150,0,1727
3,24/25,ens4,150,0,1864
3,24/25,ens5,150,0,1643
3,24/25,ens6,150,0,1727
3,24/25,struct,150,0,1702
3,24/25,ens2,180,0,1727
3,24/25,ens3,180,0,1727
3,24/25,ens4,180,0,1864
3,24/25,ens5,180,0,1643
3,24/25,ens6,180,0,1727
3,24/25,struct,180,0,1702
3,24/25,ens2,240,0,1727
3,24/25,ens3,240,0,1727
3,24/25,ens4,240,0,1864
3,24/25,ens5,240,0,1643
3,24/25,ens6,240,0,1727
3,24/25,struct,240,0,1702
3,24/25,ens2_cap,180,1,1908
3,24/25,ens3_cap,180,1,1908
3,24/25,ens5_cap,180,1,1824
3,25/26,ens2,150,0,1700
3,25/26,ens3,150,0,1700
3,25/26,ens4,150,0,1700
3,25/26,ens5,150,0,1539
3,25/26,ens6,150,0,1700
3,25/26,struct,150,0,1397
3,25/26,ens2,180,0,1700
3,25/26,ens3,180,0,1700
3,25/26,ens4,180,0,1700
3,25/26,ens5,180,0,1539
3,25/26,ens6,180,0,1700
3,25/26,struct,180,0,1397
3,25/26,ens2,240,0,1700
3,25/26,ens3,240,0,1700
3,25/26,ens4,240,0,1700
3,25/26,ens5,240,0,1539
3,25/26,ens6,240,0,1700
3,25/26,struct,240,0,1397
3,25/26,ens2_cap,180,1,1814
3,25/26,ens3_cap,180,1,1814
3,25/26,ens5_cap,180,1,1653
4,24/25,ens2,150,0,1888
4,24/25,ens3,150,0,1694
4,24/25,ens4,150,0,1694
4,24/25,ens5,150,0,1574
4,24/25,ens6,150,0,1904
4,24/25,struct,150,0,1702
4,24/25,ens2,180,0,1888
4,24/25,ens3,180,0,1694
4,24/25,ens4,180,0,1694
4,24/25,ens5,180,0,1574
4,24/25,ens6,180,0,1904
4,24/25,struct,180,0,1702
4,24/25,ens2,240,0,1888
4,24/25,ens3,240,0,1694
4,24/25,ens4,240,0,1694
4,24/25,ens5,240,0,1574
4,24/25,ens6,240,0,1904
4,24/25,struct,240,0,1702
4,24/25,ens2_cap,180,1,2232
4,24/25,ens3_cap,180,1,1908
4,24/25,ens5_cap,180,1,1755
4,25/26,ens2,150,0,1669
